"unique","age","lactation","disease","presence"
"K11-P152",3.2,"2","da",0
"K11-P163",3.2,"2","mf",0
"K11-P163",3.2,"2","da",0
"K11-P166",2.3,"1","mf",0
"K11-P166",2.3,"1","da",0
"K11-P167",2.4,"1","mf",0
"K11-P167",2.4,"1","da",0
"K11-P20",4.7,"3","mf",0
"K11-P20",4.7,"3","da",0
"K11-P32",4.7,"3","mf",0
"K11-P32",4.7,"3","da",0
"K11-P33",4.5,"3","mf",0
"K11-P33",4.5,"3","da",0
"K11-P42",7.2,"5","mf",0
"K11-P42",7.2,"5","da",0
"K11-P46",7.3,"5","mf",0
"K11-P46",7.3,"5","da",0
"K11-P82",4.6,"3","mf",0
"K11-P82",4.6,"3","da",0
"K11-P90",3.8,"2","mf",0
"K11-P90",3.8,"2","da",0
"K11-P98",5.5,"4","mf",0
"K11-P98",5.5,"4","da",0
"K120-P10",2.1,"1","mf",0
"K120-P10",2.1,"1","da",0
"K120-P20",2.6,"1","mf",0
"K120-P20",2.6,"1","da",0
"K120-P33",5.7,"4","mf",0
"K120-P33",5.7,"4","da",0
"K120-P36",4,"2","mf",0
"K120-P36",4,"2","da",0
"K120-P44",3.3,"2","mf",0
"K120-P44",3.3,"2","da",0
"K120-P47",2.7,"1","mf",0
"K120-P47",2.7,"1","da",0
"K120-P5",6.1,"4","mf",0
"K120-P5",6.1,"4","da",0
"K120-P66",3.7,"2","mf",0
"K120-P66",3.7,"2","da",0
"K120-P70",2.4,"1","mf",0
"K120-P70",2.4,"1","da",0
"K120-P78",3,"2","mf",0
"K120-P78",3,"2","da",0
"K121-P10",4.8,"3","mf",0
"K121-P10",4.8,"3","da",0
"K121-P122",4.3,"3","mf",0
"K121-P122",4.3,"3","da",0
"K121-P3",9.1,"8","mf",0
"K121-P3",9.1,"8","da",0
"K121-P42",6,"5","mf",0
"K121-P42",6,"5","da",0
"K121-P49",7.3,"6","mf",0
"K121-P49",7.3,"6","da",0
"K121-P57",3.3,"2","mf",0
"K121-P57",3.3,"2","da",0
"K121-P85",4.6,"3","mf",0
"K121-P85",4.6,"3","da",0
"K121-P89",4.6,"3","mf",0
"K121-P89",4.6,"3","da",1
"K121-P96",2.1,"1","mf",0
"K121-P96",2.1,"1","da",1
"K122-P104",2.5,"1","mf",0
"K122-P104",2.5,"1","da",0
"K122-P105",2.2,"1","mf",0
"K122-P105",2.2,"1","da",0
"K122-P108",2.2,"1","mf",0
"K122-P108",2.2,"1","da",0
"K122-P37",5.6,"4","mf",0
"K122-P37",5.6,"4","da",0
"K122-P75",3.3,"2","mf",1
"K122-P75",3.3,"2","da",0
"K122-P86",2.3,"1","mf",0
"K122-P86",2.3,"1","da",0
"K122-P92",2.2,"1","mf",0
"K122-P92",2.2,"1","da",0
"K122-P96",2.1,"1","mf",0
"K122-P96",2.1,"1","da",0
"K123-P273",5.9,"4","mf",1
"K123-P273",5.9,"4","da",0
"K123-P308",4.3,"3","mf",0
"K123-P308",4.3,"3","da",0
"K123-P309",4.7,"3","mf",0
"K123-P309",4.7,"3","da",0
"K123-P315",3.5,"2","mf",0
"K123-P315",3.5,"2","da",0
"K123-P327",3.6,"2","mf",0
"K123-P327",3.6,"2","da",0
"K123-P335",2.3,"1","mf",0
"K123-P335",2.3,"1","da",0
"K123-P339",2.5,"1","mf",0
"K123-P339",2.5,"1","da",0
"K123-P355",4.5,"3","mf",0
"K123-P355",4.5,"3","da",0
"K123-P360",1.9,"1","mf",0
"K123-P360",1.9,"1","da",0
"K123-P363",2.2,"1","mf",0
"K123-P363",2.2,"1","da",0
"K124-P318",7.6,"5","mf",0
"K124-P318",7.6,"5","da",0
"K124-P326",6.6,"5","mf",1
"K124-P326",6.6,"5","da",0
"K124-P370",4.5,"3","mf",0
"K124-P370",4.5,"3","da",0
"K124-P388",4.3,"3","mf",0
"K124-P388",4.3,"3","da",0
"K124-P389",4.2,"3","mf",0
"K124-P389",4.2,"3","da",0
"K124-P407",3.4,"2","mf",0
"K124-P407",3.4,"2","da",0
"K124-P433",2.4,"1","mf",0
"K124-P433",2.4,"1","da",0
"K124-P434",2.2,"1","mf",0
"K124-P434",2.2,"1","da",0
"K125-P112",4.3,"3","mf",0
"K125-P112",4.3,"3","da",0
"K125-P116",4.2,"3","mf",0
"K125-P116",4.2,"3","da",0
"K125-P123",4,"2","mf",0
"K125-P123",4,"2","da",0
"K125-P135",3.7,"2","mf",0
"K125-P135",3.7,"2","da",0
"K125-P14",8,"6","mf",1
"K125-P14",8,"6","da",0
"K125-P146",3.4,"2","mf",0
"K125-P146",3.4,"2","da",0
"K125-P147",3.3,"2","mf",0
"K125-P147",3.3,"2","da",0
"K125-P168",2.1,"1","mf",0
"K125-P168",2.1,"1","da",0
"K125-P172",2.1,"1","mf",0
"K125-P172",2.1,"1","da",0
"K125-P178",2.1,"1","mf",0
"K125-P178",2.1,"1","da",0
"K125-P182",2.2,"1","mf",0
"K125-P182",2.2,"1","da",0
"K125-P197",2,"1","mf",0
"K125-P197",2,"1","da",0
"K125-P208",2.1,"1","mf",0
"K125-P208",2.1,"1","da",0
"K125-P71",8.6,"7","mf",0
"K125-P71",8.6,"7","da",0
"K125-P95",4.4,"3","mf",1
"K125-P95",4.4,"3","da",0
"K125-P96",4.7,"3","mf",0
"K125-P96",4.7,"3","da",1
"K125-P97",4.3,"3","mf",0
"K125-P97",4.3,"3","da",0
"K126-P1003",2.3,"1","mf",0
"K126-P1003",2.3,"1","da",0
"K126-P1008",2.1,"1","mf",0
"K126-P1008",2.1,"1","da",0
"K126-P1011",2.3,"1","mf",0
"K126-P1011",2.3,"1","da",0
"K126-P1013",2.4,"1","mf",0
"K126-P1013",2.4,"1","da",0
"K126-P1033",2.3,"1","mf",0
"K126-P1033",2.3,"1","da",0
"K126-P1036",2.2,"1","mf",0
"K126-P1036",2.2,"1","da",0
"K126-P1047",2.3,"1","mf",0
"K126-P1047",2.3,"1","da",0
"K126-P1050",2.2,"1","mf",0
"K126-P1050",2.2,"1","da",0
"K126-P1053",2.2,"1","mf",0
"K126-P1053",2.2,"1","da",0
"K126-P1060",2.2,"1","mf",0
"K126-P1060",2.2,"1","da",0
"K126-P1133",6.3,"5","mf",0
"K126-P1133",6.3,"5","da",0
"K126-P1257",4.7,"4","mf",0
"K126-P1257",4.7,"4","da",0
"K126-P1258",5.7,"4","mf",0
"K126-P1258",5.7,"4","da",0
"K126-P1261",2.1,"1","mf",0
"K126-P1261",2.1,"1","da",0
"K126-P1265",3.9,"3","mf",0
"K126-P1265",3.9,"3","da",0
"K126-P1268",5.4,"4","mf",0
"K126-P1268",5.4,"4","da",0
"K126-P1277",3.1,"2","mf",0
"K126-P1277",3.1,"2","da",0
"K126-P554",7.2,"5","mf",0
"K126-P554",7.2,"5","da",0
"K126-P575",6.6,"5","mf",0
"K126-P575",6.6,"5","da",0
"K126-P627",6.2,"4","mf",0
"K126-P627",6.2,"4","da",0
"K126-P639",5.7,"4","mf",1
"K126-P639",5.7,"4","da",0
"K126-P643",6.2,"5","mf",0
"K126-P643",6.2,"5","da",0
"K126-P668",5.7,"4","mf",0
"K126-P668",5.7,"4","da",0
"K126-P743",4.6,"3","mf",0
"K126-P743",4.6,"3","da",0
"K126-P802",4.4,"3","mf",0
"K126-P802",4.4,"3","da",0
"K126-P823",4.6,"3","mf",0
"K126-P823",4.6,"3","da",0
"K126-P826",4.6,"3","mf",0
"K126-P826",4.6,"3","da",0
"K126-P833",4.3,"3","mf",0
"K126-P833",4.3,"3","da",0
"K126-P836",4.1,"3","mf",0
"K126-P836",4.1,"3","da",0
"K126-P867",4.2,"3","mf",0
"K126-P867",4.2,"3","da",0
"K126-P906",3.7,"2","mf",0
"K126-P906",3.7,"2","da",0
"K126-P935",3.3,"2","mf",0
"K126-P935",3.3,"2","da",0
"K126-P956",2.3,"1","mf",0
"K126-P956",2.3,"1","da",0
"K126-P981",2.5,"1","mf",0
"K126-P981",2.5,"1","da",0
"K126-P985",2.4,"1","mf",0
"K126-P985",2.4,"1","da",0
"K126-P988",2.2,"1","mf",0
"K126-P988",2.2,"1","da",0
"K126-P990",2.2,"1","mf",0
"K126-P990",2.2,"1","da",1
"K126-P993",2.3,"1","mf",0
"K126-P993",2.3,"1","da",0
"K128-P103",3.6,"2","mf",0
"K128-P103",3.6,"2","da",0
"K128-P105",3.1,"2","mf",0
"K128-P105",3.1,"2","da",0
"K128-P111",4.3,"3","mf",0
"K128-P111",4.3,"3","da",0
"K128-P121",4.7,"3","mf",0
"K128-P121",4.7,"3","da",0
"K128-P143",5.6,"4","mf",0
"K128-P143",5.6,"4","da",0
"K128-P171",3.4,"2","mf",0
"K128-P171",3.4,"2","da",0
"K128-P203",2.7,"1","mf",0
"K128-P203",2.7,"1","da",0
"K128-P261",3.4,"2","mf",0
"K128-P261",3.4,"2","da",0
"K128-P270",3.3,"2","mf",0
"K128-P270",3.3,"2","da",0
"K128-P336",2.2,"1","mf",0
"K128-P336",2.2,"1","da",0
"K129-P251",3.1,"2","mf",0
"K129-P251",3.1,"2","da",0
"K129-P256",9.7,"8","mf",0
"K129-P256",9.7,"8","da",0
"K129-P257",9.6,"7","mf",0
"K129-P257",9.6,"7","da",0
"K129-P260",5.5,"4","mf",0
"K129-P260",5.5,"4","da",0
"K129-P270",5.6,"4","mf",0
